index,id,time,link,message,like,share,comment
0,1282973728458676_1997212310569587,1534219200,https://www.facebook.com/CH3Thailand/videos/1997212310569587/,“นี่จะกวนประสาทกันไปถึงไหนวะ!” “มายาวี” ให้ “เกม” ช่วยดูแลงานให้ “เมจิก” บอยแบนด์หนุ่มตกอับเด็กฝาก เกมไม่ถูกชะตาเมจิกตั้งแต่แรกเจอ เมจิกยียวนจนเกมโมโห เมจิกเคยแข่งกันจีบสาวกับสัตยามาตั้งแต่สมัยเรียน ได้มาเจอสัตยาคราวนี้ก็แกรนโอเพ่นนิ่งเป็นเกย์ซะแล้ว! เลยอดอยากรู้อยากเห็นไม่ได้ แถมยังตามแกล้งตามแหย่สัตยาตลอด ๆ สัตยาเลยต้องแอ๊บให้เนียนเพื่อไม่ให้ความแตก ฟาก “จริงใจ” เองก็โดนเมจิกตามจีบจนเริ่มใจอ่อน ทำให้สัตยาออกอาการอิจฉา,4,0,0
1,1282973728458676_1798615610227816,1534218300,https://www.facebook.com/CH3Thailand/posts/1798615610227816,คลิปรุมทำร้ายกันบนรถเมล์ คนทำจะได้รับโทษอะไรบ้าง มาดูกันค่ะ http://www.ch3thailand.com/news/scoop/13326 ติดตาม คลิปข้างศาล ทุกวันจันทร์ – ศุกร์ เวลา 12.10 น. ทางช่อง 33,26,0,0
2,1282973728458676_1798691430220234,1534218286,https://www.facebook.com/CH3Thailand/posts/1798691430220234,เปิดช่อง 13 กันอยู่หรือเปล่าเอ่ย สนุกมาก ๆ เลยนะคะ ห้ามพลาด!  จางโบรี ฝันนี้ต้องสู้❤️❤️❤️,27,2,0
3,1282973728458676_1798612533561457,1534217400,https://www.facebook.com/CH3Thailand/posts/1798612533561457,สาวๆ ห้ามพลาด มาดูวิธีปราบหนุ่มเจ้าชู้ให้อยู่หมัดกันค่ะ http://www.ch3thailand.com/news/scoop/13325 ติดตาม “มังกรหยก” ทุกวันจันทร์ – พฤหัสบดี เวลา 12.45 น. ทางช่อง 33 และรับชมรีรัน เวลา 02.15 ในวันถัดไป ทางช่อง 33,35,1,1
4,1282973728458676_290659848153857,1534217265,https://www.facebook.com/CH3Thailand/videos/290659848153857/,Wrong Say Do ซีซั่นสอง! ใน EP. 5 เจนนี่ พาเขนฝรั่งเศสบุกบ้านเกิด เมืองหาดใหญ่ สนุกแน่นอนค่ะ ‍ คลิกเลย👉 https://bit.ly/2MF24uq ‍ #MelloThailand #MelloOriginal #WrongSayDo #WrongSayDoSS2 #เจนนี่ปาหนัน #WSD #ฝรั่งหล่อบอกต่อด้วย #ฝรั่งดีวิตามินซีสูง,40,0,0
5,1282973728458676_1798607610228616,1534214700,https://www.facebook.com/CH3Thailand/posts/1798607610228616,นักร้องสุดฮอตของ “มาสเตอร์คีย์ หีบทองคำ” กลับมาอีกครั้ง http://www.ch3thailand.com/news/scoop/13323 ติดตาม มาสเตอร์คีย์ เวทีแจ้งเกิด ทุกวันจันทร์ – ศุกร์ เวลา 09.55 น. ทางช่อง 33,73,0,0
6,1282973728458676_1798606106895433,1534213502,https://www.facebook.com/CH3Thailand/posts/1798606106895433,ทำไมนายหัว“หฤษฎิ์” ถึงต้องโหดขนาดนี้ เข้ามาดูกันค่ะ http://www.ch3thailand.com/news/scoop/13322 ติดตาม  จำเลยรัก ทุกวันจันทร์ – ศุกร์ เวลา 08.00 น. ทางช่อง 33,256,,2
7,1282973728458676_1798007656955278,1534212001,https://www.facebook.com/CH3Thailand/posts/1798007656955278,"""ต่อไปนี้ผมจะตามหาพ่อแม่ ตามหาประวัติของตัวผมเอง และปิ่นมุกจะเป็นไพ่ใบสำคัญของผม"" ดูย้อนหลัง ดวงใจในไฟหนาว EP.01 | 13-08-61 http://www.ch3thailand.com/news/scoop/13320 #ดวงใจในไฟหนาว #Ch3Thailand",119,2,0
8,1282973728458676_1797993606956683,1534210201,https://www.facebook.com/CH3Thailand/posts/1797993606956683,"""นายไม่ใช่คนของฉัน ไม่มีสิทธิ์เรียกฉันว่านายหญิง"" ดูย้อนหลัง นักสู้เทวดา EP.16 | 13-08-61 http://www.ch3thailand.com/news/scoop/13319 #นักสู้เทวดา #Ch3Thailand",124,,0
9,1282973728458676_1797986183624092,1534208401,https://www.facebook.com/CH3Thailand/posts/1797986183624092,คนโสดราศีใดมีเกณฑ์จะได้พบคู่สักที เช็กเลย! ดวงวันอังคารที่ 14 ส.ค. 2018 http://www.ch3thailand.com/news/scoop/13318 #Ch3Thailand #ดูดวง #ดวง,179,1,0
10,1282973728458676_1797973460292031,1534204800,https://www.facebook.com/CH3Thailand/photos/a.1330600120362703.1073741828.1282973728458676/1797971086958935/?type=3,"โปรแกรมเด็ดวันนี้ ตามไปดูความกวนประสาทของ ""เยี่ยมยุทธ"" กันต่อใน #ดวงใจในไฟหนาว พบกับตอนแรกของ #ปดิวรัดา ที่กลับมาสร้างความประทับใจอีกครั้ง ร่วมด้วย #วิ่งสู้ฟัด #อัศจรรย์โลก3มิติ #สูงแค่ไหนไปให้ถึง ดูเพิ่มเติมที่ www.ch3thailand.com #Ch3Thailand #ช่อง33 #ช่อง28 #ช่อง13",195,2,3
11,1282973728458676_1792696930819684,1534200000,https://www.facebook.com/CH3Thailand/photos/a.1330600120362703.1073741828.1282973728458676/1792696217486422/?type=3,ตารางออกอากาศ ประจำวันอังคารที่ 14 สิงหาคม 2561 ของ #ช่อง33 ติดตามผังรายการช่อง3 เพิ่มเติมที่ ch3thailand.com/ผังรายการช่อง3 #Ch3Thailand #ผังรายการช่อง33 #ช่อง3,108,1,3
12,1282973728458676_1792695450819832,1534199700,https://www.facebook.com/CH3Thailand/photos/a.1330600120362703.1073741828.1282973728458676/1792694434153267/?type=3,ตารางออกอากาศ ประจำวันอังคารที่ 14 สิงหาคม 2561 ของ #ช่อง28 ติดตามผังรายการช่อง3 เพิ่มเติมที่ ch3thailand.com/ผังรายการช่อง3 #Ch3Thailand #ผังรายการช่อง28 #ช่อง3,12,0,1
13,1282973728458676_1792693507486693,1534199400,https://www.facebook.com/CH3Thailand/photos/a.1330600120362703.1073741828.1282973728458676/1792693060820071/?type=3,ตารางออกอากาศ ประจำวันอังคารที่ 14 สิงหาคม 2561 ของ #ช่อง13 ติดตามผังรายการช่อง3 เพิ่มเติมที่ ch3thailand.com/ผังรายการช่อง3 #Ch3Thailand #ผังรายการช่อง13 #ช่อง3,12,0,0
14,1282973728458676_1990931704532065,1534176207,https://www.facebook.com/CH3Thailand/videos/1990931704532065/,ยังมีปมหลายๆ อย่าง ที่รอการเปิดเผย เนื้อเรื่องสนุกเข้มข้นขึ้นเรื่อยๆ  ติดตาม #ดวงใจในไฟหนาว พรุ่งนี้ เวลา 20.20 น. เปิดทีวี #ช่อง33 ดูสดไปพร้อมกันค่ะ #Ch3Thailand,281,6,0
15,1282973728458676_1760320444023355,1534171061,https://www.facebook.com/CH3Thailand/videos/1760320444023355/,"""ฉันมีหนี้สิน เงินเดือนชักหน้าไม่ถึงหลัง"" นึกว่าเยี่ยมยุทธ จะเห็นใจดาวเหนือ ยังจะไปแกล้งเขาอีก ร้ายจริงๆ  ดูสด #ดวงใจในไฟหนาว (ตอนแรก) พร้อมกันตอนนี้ทางทีวี #ช่อง33 ดูออนไลน์ คลิก ch3thailand.com/live/33 หรือดูผ่านแอปพลิเคชัน #Ch3Thailand",678,16,11
16,1282973728458676_1797141813708529,1534168801,https://www.facebook.com/CH3Thailand/posts/1797141813708529,“เฮียซ้ง” จะพาไปฟิน กับของอร่อยย่านเจริญกรุง เข้ามาดูกันค่ะ http://www.ch3thailand.com/news/scoop/13308 ติดตาม กินเที่ยวอะราวเดอะเวิลด์ คืนนี้ เวลา 23.00 น. ทางช่อง 28,187,1,0
17,1282973728458676_671255349896239,1534168421,https://www.facebook.com/CH3Thailand/videos/671255349896239/,"""นี่คุณเป็นใคร"" เจอกันครั้งแรกก็ไม่ชอบหน้ากันซะแล้ว สนุกตั้งแต่เริ่มเรื่องเลยค่ะ ดูสด #ดวงใจในไฟหนาว (ตอนแรก) พร้อมกันตอนนี้ทางทีวี #ช่อง33 ดูออนไลน์ คลิก ch3thailand.com/live/33 หรือดูผ่านแอปพลิเคชัน #Ch3Thailand",604,21,12
18,1282973728458676_2144561872487733,1534167900,https://www.facebook.com/CH3Thailand/videos/2144561872487733/,"#ตลาดเด็ดประเทศไทย ซีซั่น2 วันนี้เยือนถิ่นบุรีรัมย์ เมืองที่เต็มเปี่ยมไปด้วยประวัติศาสตร์หลายพันปี กับ 2 คู่หู ""ติ๊นา-ศุภนาฎ"" และ ""มีน-สรัลธร"" พบกันเวลา 21.30 น. ทาง #ช่อง28 ดูออนไลน์ คลิก ch3thailand.com/live/28 หรือดูผ่านแอปพลิเคชัน #Ch3Thailand",111,4,1
19,1282973728458676_1797411117014932,1534166400,https://www.facebook.com/CH3Thailand/photos/a.1330600120362703.1073741828.1282973728458676/1797410383681672/?type=3,เรื่องราวของ เยี่ยมยุทธ และสามสาว ที่เขาเข้ามาเกี่ยวข้องด้วย จะวุ่นวายขนาดไหน ดูสด #ดวงใจในไฟหนาว (ตอนแรก) พร้อมกันตอนนี้ทางทีวี #ช่อง33 ดูออนไลน์ คลิก ch3thailand.com/live/33 หรือดูผ่านแอปพลิเคชัน #Ch3Thailand,393,6,1
20,1282973728458676_1645900218872977,1534164300,https://www.facebook.com/CH3Thailand/videos/1645900218872977/,ทุกคืนวันจันทร์-พฤหัสบดี เวลา 20.30 น. และศุกร์ 20.45 น. พบกับสารคดีระดับโลกใน #อัศจรรย์โลก3มิติ วันนี้ สำรวจป่าไม้และภูเขาในแถบอเมริกาใต้ รับชมได้ทาง #ช่อง13 ดูออนไลน์ คลิก ch3thailand.com/live/13 หรือดูผ่านแอปพลิเคชัน #Ch3Thailand,120,1,0
21,1282973728458676_1797407907015253,1534163400,https://www.facebook.com/CH3Thailand/posts/1797407907015253,แผนการจีบ ปิ่นมุก ของ เยี่ยมยุทธ เริ่มต้นขึ้นแล้ว แต่ก็มีอุปสรรคสำคัญคือ ดาวเหนือ คืนนี้ ติดตาม #ดวงใจในไฟหนาว (ตอนแรก) เวลา 20.20 น. เปิดทีวี #ช่อง33 ดูสดไปพร้อมกันค่ะ #Ch3Thailand,709,14,3
