Weekday,timeInterval,checkHashtags,index,likeRank
Tuesday,3-6,0,0,low
Tuesday,3-6,0,1,low
Tuesday,3-6,0,2,low
Tuesday,3-6,0,3,low
Tuesday,3-6,1,4,low
Tuesday,0-3,0,5,low
Tuesday,0-3,0,6,low
Tuesday,0-3,1,9,low
Tuesday,0-3,1,10,low
Monday,21-24,1,11,low
Monday,21-24,1,12,low
Monday,21-24,1,13,low
Monday,15-18,1,14,low
Monday,12-15,0,16,low
Monday,12-15,1,18,low
Monday,12-15,1,19,low
Monday,12-15,1,20,low
Monday,12-15,1,21,medium
Monday,12-15,1,22,low
Monday,9-12,1,23,low
Monday,9-12,1,24,low
Monday,9-12,1,25,low
Monday,9-12,1,26,low
Monday,9-12,1,27,low
Monday,9-12,0,28,low
Monday,6-9,0,29,medium
Monday,6-9,0,30,medium
Monday,6-9,0,31,low
Monday,6-9,0,32,low
Monday,6-9,0,33,low
Monday,6-9,0,34,low
Monday,3-6,0,35,medium
Monday,3-6,0,36,medium
Monday,3-6,0,37,low
Monday,3-6,1,38,low
Monday,3-6,0,39,low
Monday,3-6,0,40,low
Monday,3-6,0,41,low
Monday,0-3,0,42,low
Monday,0-3,0,44,low
Monday,0-3,1,45,low
Sunday,21-24,1,46,low
Sunday,21-24,1,47,low
Sunday,21-24,1,48,low
Sunday,21-24,1,49,low
Sunday,12-15,1,52,low
Sunday,12-15,1,53,low
Sunday,12-15,1,54,low
Sunday,12-15,1,55,medium
Sunday,12-15,0,56,low
Sunday,9-12,0,58,low
Sunday,9-12,1,60,low
Sunday,6-9,1,62,low
Sunday,6-9,1,64,low
Sunday,6-9,0,65,low
Sunday,6-9,1,66,medium
Sunday,6-9,1,67,low
Sunday,6-9,0,68,low
Sunday,6-9,1,69,low
Sunday,3-6,0,70,low
Sunday,3-6,1,71,medium
Sunday,3-6,0,72,medium
Sunday,3-6,1,73,low
Sunday,3-6,0,74,low
Sunday,3-6,1,75,low
Sunday,3-6,1,76,low
Sunday,3-6,1,77,low
Sunday,3-6,1,78,low
Sunday,0-3,1,79,low
Sunday,0-3,1,81,low
Sunday,0-3,1,82,low
Sunday,0-3,1,83,low
Sunday,0-3,1,84,low
Sunday,0-3,0,85,medium
Sunday,0-3,1,86,low
Sunday,0-3,1,87,low
Saturday,21-24,1,88,low
Saturday,21-24,1,89,low
Saturday,21-24,1,90,low
Saturday,15-18,1,91,low
Saturday,12-15,1,93,low
Saturday,12-15,1,95,low
Saturday,12-15,1,96,low
Saturday,12-15,1,97,low
Saturday,12-15,1,98,medium
Saturday,9-12,1,100,low
Saturday,9-12,1,101,low
Saturday,9-12,1,102,low
Saturday,9-12,0,103,low
Saturday,9-12,1,104,low
Saturday,9-12,1,105,low
Saturday,6-9,1,106,low
Saturday,6-9,0,107,medium
Saturday,6-9,0,108,low
Saturday,6-9,1,109,low
Saturday,6-9,1,110,medium
Saturday,6-9,1,111,low
Saturday,6-9,1,112,low
Saturday,6-9,1,113,low
Saturday,6-9,0,114,low
Saturday,6-9,0,115,low
Saturday,6-9,1,116,low
Saturday,6-9,1,117,low
Saturday,3-6,0,118,low
Saturday,3-6,1,119,low
Saturday,3-6,1,120,low
Saturday,3-6,1,121,low
Saturday,3-6,1,122,low
Saturday,3-6,1,123,low
Saturday,3-6,1,124,low
Saturday,0-3,1,125,low
Saturday,0-3,1,126,low
Saturday,0-3,1,127,low
Saturday,0-3,1,129,low
Saturday,0-3,1,131,low
Saturday,0-3,1,132,low
Friday,21-24,1,133,low
Friday,21-24,1,134,low
Friday,21-24,1,135,low
Friday,15-18,1,136,low
Friday,12-15,1,139,low
Friday,12-15,1,140,low
Friday,12-15,1,141,low
Friday,12-15,0,142,low
Friday,12-15,1,143,low
Friday,12-15,1,144,low
Friday,12-15,1,145,medium
Friday,12-15,1,146,low
Friday,12-15,1,147,medium
Friday,9-12,0,148,low
Friday,9-12,1,149,low
Friday,9-12,0,150,medium
Friday,9-12,1,151,medium
Friday,9-12,0,152,low
Friday,9-12,0,153,low
Friday,9-12,0,154,low
Friday,9-12,0,155,low
Friday,6-9,0,157,low
Friday,6-9,0,158,low
Friday,6-9,1,159,low
Friday,6-9,0,160,low
Friday,6-9,0,161,low
Friday,6-9,1,162,low
Friday,6-9,0,163,low
Friday,6-9,0,164,low
Friday,6-9,1,165,low
Friday,3-6,0,166,low
Friday,3-6,0,167,low
Friday,3-6,0,169,low
Friday,3-6,0,170,low
Friday,3-6,1,171,low
Friday,3-6,0,172,low
Friday,3-6,0,173,low
Friday,3-6,0,174,medium
Friday,3-6,0,175,low
Friday,0-3,1,179,low
Friday,0-3,1,180,low
Thursday,21-24,1,181,low
Thursday,21-24,1,182,low
Thursday,21-24,1,183,low
Thursday,12-15,0,186,low
Thursday,12-15,0,187,low
Thursday,12-15,1,188,low
Thursday,12-15,1,189,low
Thursday,12-15,1,190,low
Thursday,12-15,1,191,low
Thursday,12-15,1,192,low
Thursday,12-15,1,193,low
Thursday,9-12,1,194,medium
Thursday,9-12,0,195,low
Thursday,9-12,1,196,low
Thursday,9-12,0,197,low
Thursday,9-12,0,199,low
Thursday,6-9,0,201,low
Thursday,6-9,0,202,low
Thursday,6-9,0,204,medium
Thursday,6-9,0,205,low
Thursday,6-9,0,207,low
Thursday,6-9,0,208,low
Thursday,3-6,1,209,low
Thursday,3-6,0,210,low
Thursday,3-6,0,211,low
Thursday,3-6,1,213,low
Thursday,3-6,0,214,low
Thursday,3-6,0,215,medium
Thursday,3-6,0,216,low
Thursday,0-3,0,217,low
Thursday,0-3,0,218,low
Thursday,0-3,0,220,low
Thursday,0-3,1,222,low
Thursday,0-3,1,223,low
Wednesday,21-24,1,224,low
Wednesday,21-24,1,225,low
Wednesday,21-24,1,226,low
Wednesday,15-18,1,227,low
Wednesday,12-15,0,230,low
Wednesday,12-15,0,231,low
Wednesday,12-15,1,232,low
Wednesday,12-15,1,233,low
Wednesday,12-15,1,234,low
Wednesday,12-15,1,235,low
Wednesday,12-15,1,236,medium
Wednesday,12-15,1,237,low
Wednesday,9-12,0,238,low
Wednesday,9-12,1,240,medium
Wednesday,9-12,1,241,low
Wednesday,9-12,1,242,low
Wednesday,9-12,1,243,low
Wednesday,9-12,0,245,low
Wednesday,9-12,0,246,low
Wednesday,9-12,1,247,low
Wednesday,6-9,0,249,low
Wednesday,6-9,1,250,low
Wednesday,6-9,0,251,low
Wednesday,6-9,0,253,low
Wednesday,6-9,0,256,low
Wednesday,6-9,0,257,medium
Wednesday,3-6,0,259,low
Wednesday,3-6,0,260,low
Wednesday,3-6,0,262,low
Wednesday,3-6,0,263,low
Wednesday,3-6,1,264,high
Wednesday,3-6,0,265,low
Wednesday,3-6,0,266,low
Wednesday,3-6,0,267,low
Wednesday,3-6,0,268,low
Wednesday,0-3,1,269,medium
Wednesday,0-3,1,272,low
Tuesday,21-24,1,273,low
Tuesday,21-24,1,274,low
Tuesday,21-24,1,275,low
Tuesday,15-18,1,276,medium
Tuesday,12-15,0,280,low
Tuesday,12-15,1,281,low
Tuesday,12-15,0,282,low
Tuesday,12-15,1,283,medium
Tuesday,12-15,1,284,medium
Tuesday,12-15,1,285,medium
Tuesday,9-12,1,286,medium
Tuesday,9-12,0,287,medium
Tuesday,9-12,0,288,low
Tuesday,9-12,1,289,medium
Tuesday,9-12,0,290,low
Tuesday,9-12,0,291,low
Tuesday,9-12,1,292,high
Tuesday,9-12,0,293,low
Tuesday,9-12,0,294,medium
Tuesday,9-12,1,295,medium
Tuesday,6-9,1,297,low
Tuesday,6-9,0,298,low
Tuesday,6-9,0,299,low
Tuesday,6-9,0,300,low
Tuesday,6-9,0,301,low
Tuesday,6-9,0,302,medium
Tuesday,6-9,0,304,low
Tuesday,6-9,0,305,medium
Tuesday,6-9,0,306,low
Tuesday,6-9,1,308,low
Tuesday,6-9,0,309,low
Tuesday,6-9,1,310,low
Tuesday,6-9,0,311,low
Tuesday,3-6,0,313,low
Tuesday,3-6,0,314,low
Tuesday,3-6,0,316,low
Tuesday,3-6,0,317,low
Tuesday,3-6,1,318,low
Tuesday,3-6,0,319,low
Tuesday,3-6,0,320,low
Tuesday,3-6,0,321,low
Tuesday,0-3,0,322,low
Tuesday,0-3,0,324,low
Tuesday,0-3,1,326,low
Tuesday,0-3,1,327,low
Monday,21-24,1,328,low
Monday,21-24,1,329,low
Monday,21-24,1,330,low
Monday,15-18,1,331,low
Monday,15-18,1,332,medium
Monday,12-15,0,335,low
Monday,12-15,1,336,low
Monday,12-15,0,337,low
Monday,12-15,1,338,medium
Monday,12-15,1,339,medium
Monday,12-15,1,340,low
Monday,12-15,1,341,medium
Monday,12-15,1,342,low
Monday,9-12,1,343,medium
Monday,9-12,1,344,medium
